id,kingdom,phylum,class,order,family,genus,species,n_train_samples,n_val_samples
08527,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Vitex,lucens,50,10
07465,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,media,50,10
02312,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,mixta,50,10
04459,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides,arcticus,50,10
07428,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Dianthus,carthusianorum,50,10
03981,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia,luscinia,50,10
06903,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Nabalus,trifoliolatus,50,10
00361,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Serrognathus,titanus,50,10
08997,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Cuphea,carthagenensis,50,10
00103,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,venatoria,50,10
05928,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Scilla,siberica,50,10
08395,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Avicennia,germinans,50,10
05119,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,ornatus,50,10
09409,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,erecta,50,10
06012,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cypripedium,calceolus,50,10
00035,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Micrathena,mitrata,50,10
06650,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Balsamorhiza,sagittata,50,10
00606,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Aelia,acuminata,50,10
03004,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,phaeota,50,10
06670,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Carduus,crispus,50,10
03796,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Estrilda,astrild,50,10
03210,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,caerulescens,50,10
05447,Fungi,Ascomycota,Leotiomycetes,Helotiales,Gelatinodiscaceae,Ascocoryne,sarcoides,50,10
06497,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Conium,maculatum,50,10
08559,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Agalinis,purpurea,50,10
06101,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thelymitra,longifolia,50,10
07969,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Hedysarum,alpinum,50,10
00846,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,vidua,50,10
07739,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Erica,viscaria,50,10
03689,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Psaltriparus,minimus,50,10
04709,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Zalophus,californianus,50,10
07668,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Valeriana,sitchensis,50,10
09837,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,sabiniana,50,10
05985,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Sisyrinchium,bellum,50,10
02755,Animalia,Arthropoda,Merostomata,Xiphosurida,Limulidae,Limulus,polyphemus,50,10
03057,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,multiplicata,50,10
03296,Animalia,Chordata,Aves,Caprimulgiformes,Nyctibiidae,Nyctibius,jamaicensis,50,10
08695,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,longifolia,50,10
05789,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Sagittaria,latifolia,50,10
03408,Animalia,Chordata,Aves,Charadriiformes,Laridae,Ichthyaetus,melanocephalus,50,10
04627,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,gazella,50,10
09298,Plantae,Tracheophyta,Magnoliopsida,Rosales,Elaeagnaceae,Elaeagnus,pungens,50,10
08419,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tabebuia,rosea,50,10
09975,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Myriopteris,alabamensis,50,10
03274,Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,tadorna,50,10
09554,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,50,10
04665,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Phacochoerus,africanus,50,10
03435,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula,albifrons,50,10
09563,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum,fagara,50,10
03416,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,fuscus,50,10
02560,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum,ambiguum,50,10
05886,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,leichtlinii,50,10
07705,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Andromeda,polifolia,50,10
05235,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea,edulis,50,10
09413,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,recta,50,10
01620,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Emarginea,percara,50,10
02664,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Anabrus,simplex,50,10
00933,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Pyrausta,orphisalis,50,10
01342,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Burnsius,albescens,50,10
03146,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,macrourus,50,10
01078,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Melipotis,indomita,50,10
06047,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Limodorum,abortivum,50,10
05866,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Pancratium,maritimum,50,10
02418,Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Somatochlora,tenebrosa,50,10
00941,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Sameodes,cancellalis,50,10
06413,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Phleum,alpinum,50,10
07972,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Hoffmannseggia,microphylla,50,10
03577,Animalia,Chordata,Aves,Coraciiformes,Momotidae,Momotus,lessonii,50,10
07869,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Primula,hendersonii,50,10
04287,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,philomelos,50,10
02729,Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Tubuca,arcuata,50,10
02863,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,saxatilis,50,10
07299,Plantae,Tracheophyta,Magnoliopsida,Canellales,Winteraceae,Pseudowintera,colorata,50,10
05905,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Maianthemum,bifolium,50,10
09980,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,glabella,50,10
09586,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,pavia,50,10
04534,Animalia,Chordata,Aves,Psittaciformes,Strigopidae,Nestor,meridionalis,50,10
08062,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senna,armata,50,10
02044,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Zerynthia,rumina,50,10
00348,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Alaus,oculatus,50,10
04252,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Campylorhynchus,brunneicapillus,50,10
00051,Animalia,Arthropoda,Arachnida,Araneae,Cheiracanthiidae,Cheiracanthium,mildei,50,10
09884,Plantae,Tracheophyta,Polypodiopsida,Ophioglossales,Ophioglossaceae,Botrypus,virginianus,50,10
06832,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus,tuberosus,50,10
02022,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,machaon,50,10
07350,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,ganderi,50,10
02894,Animalia,Chordata,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena,barracuda,50,10
00997,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Catocala,grynea,50,10
04906,Animalia,Chordata,Reptilia,Squamata,Colubridae,Diadophis,punctatus,50,10
06029,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diuris,pardina,50,10
01422,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Phyllodesma,americana,50,10
04130,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotrichia,leucophrys,50,10
01842,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dynamine,postverta,50,10
04519,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacara,leucophthalmus,50,10
03369,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,squatarola,50,10
04589,Animalia,Chordata,Aves,Trogoniformes,Trogonidae,Pharomachrus,mocinno,50,10
00431,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Plecia,nearctica,50,10
00588,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Lygaeus,kalmii,50,10
02787,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus,osseus,50,10
03009,Animalia,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,50,10
03872,Animalia,Chordata,Aves,Passeriformes,Icteridae,Dives,dives,50,10
00789,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia,cornuta,50,10
06207,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Veratrum,californicum,50,10
07985,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus,sylvestris,50,10
01412,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Wallengrenia,otho,50,10
06884,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Madia,elegans,50,10
09084,Plantae,Tracheophyta,Magnoliopsida,Nymphaeales,Nymphaeaceae,Nymphaea,candida,50,10
00012,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,trifolium,50,10
08228,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Amsonia,ciliata,50,10
09546,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Toxicodendron,diversilobum,50,10
08566,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Bellardia,viscosa,50,10
01744,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Nadata,gibbosa,50,10
02005,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Iphiclides,feisthamelii,50,10
03439,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,maximus,50,10
04938,Animalia,Chordata,Reptilia,Squamata,Colubridae,Nerodia,fasciata,50,10
01845,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Erebia,epipsodea,50,10
09213,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Anemonoides,ranunculoides,50,10
09169,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Dendromecon,rigida,50,10
08151,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Betula,pubescens,50,10
09777,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressus,nootkatensis,50,10
04092,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammodramus,savannarum,50,10
02443,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Stylurus,plagiatus,50,10
07223,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,tournefortii,50,10
03236,Animalia,Chordata,Aves,Anseriformes,Anatidae,Chloephaga,picta,50,10
01957,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Polygonia,comma,50,10
04522,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,Alisterus,scapularis,50,10
07371,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Echinocereus,stramineus,50,10
05949,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Dianella,nigra,50,10
02588,Animalia,Arthropoda,Insecta,Odonata,Macromiidae,Didymops,transversa,50,10
07832,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Phlox,longifolia,50,10
01015,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Creatonotos,transiens,50,10
01570,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrotis,venerabilis,50,10
07716,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Cassiope,mertensiana,50,10
06344,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,catharticus,50,10
01587,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Balsa,tristrigella,50,10
01791,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Asterocampa,leilia,50,10
04295,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,sordidulus,50,10
09190,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Romneya,coulteri,50,10
06627,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,absinthium,50,10
04065,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,americana,50,10
00764,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pogonomyrmex,californicus,50,10
06338,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bouteloua,gracilis,50,10
06752,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Echinops,sphaerocephalus,50,10
02775,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,diaphanus,50,10
03469,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,temminckii,50,10
03601,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,peregrinus,50,10
06691,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chaenactis,glabriuscula,50,10
08840,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Linaceae,Linum,rigidum,50,10
03645,Animalia,Chordata,Aves,Gruiformes,Aramidae,Aramus,guarauna,50,10
07684,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Viburnum,nudum,50,10
05730,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Rhodobryum,ontariense,50,10
08549,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,nigra,50,10
09043,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Epilobium,hirsutum,50,10
09136,Plantae,Tracheophyta,Magnoliopsida,Proteales,Proteaceae,Protea,laurifolia,50,10
02737,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Arenaeus,cribrarius,50,10
01209,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Erannis,defoliaria,50,10
02530,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Orthemis,ferruginea,50,10
03341,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cerorhinca,monocerata,50,10
01034,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Eudocima,phalonia,50,10
03579,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cacomantis,flabelliformis,50,10
00144,Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae,Opilio,canestrinii,50,10
03998,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola,rubetra,50,10
04973,Animalia,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,saurita,50,10
04331,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,forficatus,50,10
09225,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,alpina,50,10
06803,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Galactites,tomentosus,50,10
05803,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Orontium,aquaticum,50,10
09318,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Ceanothus,americanus,50,10
05038,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Phrynosoma,hernandesi,50,10
08556,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Olea,europaea,50,10
08284,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Vincetoxicum,hirundinaria,50,10
09511,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Parietaria,judaica,50,10
04594,Animalia,Chordata,Aves,Trogoniformes,Trogonidae,Trogon,massena,50,10
05715,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,schweinitzii,50,10
06811,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Gnaphalium,uliginosum,50,10
03609,Animalia,Chordata,Aves,Falconiformes,Falconidae,Milvago,chimachima,50,10
07800,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,uliginosum,50,10
01786,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Argynnis,pandora,50,10
03635,Animalia,Chordata,Aves,Galliformes,Phasianidae,Pavo,cristatus,50,10
09866,Plantae,Tracheophyta,Polypodiopsida,Equisetales,Equisetaceae,Equisetum,arvense,50,10
05326,Animalia,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Polycera,atra,50,10
03123,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Busarellus,nigricollis,50,10
07394,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,basilaris,50,10
01474,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Euphilotes,bernardino,50,10
00546,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Megatibicen,auletes,50,10
03497,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,stagnatilis,50,10
05234,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Magallana,gigas,50,10
05763,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,squarrosum,50,10
07297,Plantae,Tracheophyta,Magnoliopsida,Bruniales,Bruniaceae,Brunia,noduliflora,50,10
08169,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,berberidifolia,50,10
03176,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Parabuteo,unicinctus,50,10
05747,Plantae,Bryophyta,Bryopsida,Hypnales,Hylocomiaceae,Rhytidiadelphus,loreus,50,10
06904,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Oclemena,acuminata,50,10
07259,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,lasiocarpum,50,10
06297,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Scirpus,atrovirens,50,10
05438,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Rusavskia,elegans,50,10
04456,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,pucherani,50,10
09767,Plantae,Tracheophyta,Magnoliopsida,Zygophyllales,Krameriaceae,Krameria,lanceolata,50,10
00911,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Nomophila,noctuella,50,10
05598,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,edulis,50,10
02983,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,arborea,50,10
00270,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Charidotella,sexpunctata,50,10
05340,Animalia,Mollusca,Gastropoda,Stylommatophora,Cochlicopidae,Cochlicopa,lubrica,50,10
04426,Animalia,Chordata,Aves,Piciformes,Picidae,Chloropicus,fuscescens,50,10
05341,Animalia,Mollusca,Gastropoda,Stylommatophora,Discidae,Discus,rotundatus,50,10
09753,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Ampelopsis,glandulosa,50,10
09324,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Ceanothus,integerrimus,50,10
04640,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,angasii,50,10
04943,Animalia,Chordata,Reptilia,Squamata,Colubridae,Opheodrys,aestivus,50,10
05711,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,hirsutum,50,10
09134,Plantae,Tracheophyta,Magnoliopsida,Proteales,Proteaceae,Protea,caffra,50,10
08878,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,nigra,50,10
08679,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,media,50,10
07305,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Mesembryanthemum,crystallinum,50,10
04413,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,melanocephalus,50,10
08938,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Entelea,arborescens,50,10
02401,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Xanthagrion,erythroneurum,50,10
06311,Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Juncus,torreyi,50,10
05424,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Ramalina,farinacea,50,10
04763,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,nuttallii,50,10
01230,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Hypagyrtis,unipunctata,50,10
03622,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,gambelii,50,10
00603,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Stenotus,binotatus,50,10
01780,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Apatura,ilia,50,10
07933,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Ceratonia,siliqua,50,10
07494,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Montiaceae,Claytonia,virginica,50,10
06623,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Arnica,cordifolia,50,10
06928,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Petasites,albus,50,10
04316,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,tyrannulus,50,10
08445,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,album,50,10
09412,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,norvegica,50,10
07224,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Bunias,orientalis,50,10
09795,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Thuja,occidentalis,50,10
03298,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Amazilia,beryllina,50,10
03441,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,himantopus,50,10
07926,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Calliandra,eriophylla,50,10
06876,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Liatris,cylindracea,50,10
01865,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Hamadryas,februa,50,10
05845,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,ursinum,50,10
03701,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,cedrorum,50,10
03325,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,calliope,50,10
00284,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Galeruca,tanaceti,50,10
04239,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Stilpnia,vitriolina,50,10
04827,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Geosciurus,inauris,50,10
09998,Plantae,Tracheophyta,Polypodiopsida,Salviniales,Salviniaceae,Salvinia,minima,50,10
